1,1960186342,Fri May 29 07:33:44 PDT 2009,NO_QUERY,Madelinedugganx,My GrandMa is making Dinenr with my Mum 
1,1960186409,Fri May 29 07:33:43 PDT 2009,NO_QUERY,OffRoad_Dude,Mid-morning snack time... A bowl of cheese noodles. Yum. 
1,1960186429,Fri May 29 07:33:44 PDT 2009,NO_QUERY,Falchion,@ShaDeLa same here  say it like from the Terminiator movies. comes off like just 3 words. :-D
1,1960186445,Fri May 29 07:33:44 PDT 2009,NO_QUERY,jonasobsessedx,@DestinyHope92 im great thaanks  wbuu?
1,1960186607,Fri May 29 07:33:45 PDT 2009,NO_QUERY,sugababez,cant wait til her date this weekend 
0,1677735963,Sat May 02 03:42:10 PDT 2009,NO_QUERY,shaneeeee,"Going out to breakfast with my dad, then SAT's  after that Caitlyn and Kalene might be coming over for a little bit. Either way, work  ..."
0,1677736076,Sat May 02 03:42:12 PDT 2009,NO_QUERY,backstreetchx97,......And people remain here. I don't think they are leavin anytime soon. So tired...I think this means no lunch &amp; wolverine tomorrow 
0,1677736087,Sat May 02 03:42:13 PDT 2009,NO_QUERY,Guy83,At work drilling a hole on night shift on a saturday night!! 
0,1677736446,Sat May 02 03:42:20 PDT 2009,NO_QUERY,DanTheManAUS,Peter and Ben gone tonight to Knights game to spend some quality time. Should have taken their swimmers! It is pouring 
0,1677736636,Sat May 02 03:42:24 PDT 2009,NO_QUERY,fireSPARKSx,beauty and creep coming along nicely. date was cancelled  mythbusters is cheering me up though. doing assignments. le sigh.
